Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.11591962243793;99.884079765753;0;5176.000016803;0;0;0;0;0;25.879999160767;0;0;
debian;_ALL;_ALL;0.11591962243793;99.884079765753;0;5176.000016803;0;0;0;0;0;25.879999160767;0;0;
debian;22070;_ALL;0.11591962243793;99.884079765753;0;5176.000016803;0;0;0;0;0;25.879999160767;0;0;
debian;22070;22070;0.11591962243793;99.884079765753;0;5176.000016803;0;0;0;0;0;25.879999160767;0;0;
