Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.13847674042759;99.841739453934;0;5055.0002078;0;0;0;0;0.019782392856423;25.274997711182;0;0;
debian;_ALL;_ALL;0.13847674042759;99.841739453934;0;5055.0002078;0;0;0;0;0.019782392856423;25.274997711182;0;0;
debian;25142;_ALL;0.13847674042759;99.841739453934;0;5055.0002078;0;0;0;0;0.019782392856423;25.274997711182;0;0;
debian;25142;25142;0.13847674042759;99.841739453934;0;5055.0002078;0;0;0;0;0.019782392856423;25.274997711182;0;0;
