function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
7;splat;splat;splat.c:3-7;99.841743469238;25.234998703003;25.234996795654;25.234996795654;25.234996795654;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";splat;;
-1;kernel;unknown_kernel_region;;0.13847674429417;0.034999996423721;0.034999992698431;0.034999992698431;0.034999992698431;0;0;;;;;;0;;1;"0,0,0,0,100,0,0,0,0,0";unknown kernel region;;
328;libc.so.6;_IO_printf;;0.019782392308116;0.0049999989569187;0.00499999942258;0.00499999942258;0.00499999942258;0;0;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_printf;;
